affiliations,age,birthday,blood_type,bounty,devil_fruit_name,devil_fruit_type,height,name,occupations,origin,status,weight
Torino Kingdom,,November 8th,,,,,,Shamba,,,Alive,
World Government,15 (debut),March 29th,XF,,,,"178 cm (5'10"")",Saint Shalria,World Noble,Red Line,Alive,
Shandia,,July 16th ,,,,,,Seto,,,Deceased,
Marines,32 (debut),March 10th,F,,,,"279 cm (9'1"")",Sentomaru,Marine Officer,Grand Line,Alive,
Donquixote Pirates,46,June 12th (Lover's Day),X,,Swim-Swim Fruit,Paramecia,"244 cm (8'0"")",Señor Pink,Pirate,North Blue,Alive,
Heart Pirates,25 (debut),April 7th,X,,,,,Shachi,Pirate,North Blue,Alive,
,,,,,,,,N/A,Master of Tea Ceremonies; ,,Alive,
,,,,,,,,N/A,Dyer; Instructor,,Alive,
Marines,77 (debut),May 9th,F,,"Human-Human Fruit, Model: Buddha",Mythical Zoan,"278 cm (9'1"")",Sengoku,Inspector General;,South Blue,Alive,
Mermaid Cafe,,,,,,,,Seira,Dancer,,Alive,
Levely,,,,,,,,Seki,King,,Unknown,
Space Pirates,,,,,,,,Seamars,Captain,,Alive,
On Air Pirates,29 (debut),March 19th,XF,,Tone-Tone Fruit,Paramecia,"256 cm (8'5½"") (debut, after timeskip)",Scratchmen Apoo,Pirate,Grand Line,Alive,
Roger Pirates,,,,,,,,Seagull Ganz Nozudon,Pirate,,Unknown,
Caesar Clown,25,December 11th,S (RH-),,,,"4250 cm (139'5"")",Yeti Cool Brothers,Mercenaries,Grand Line,Unknown,
Roger Pirates,,,,,,,,Scopper Gaban,Pirate,,Unknown,
Riku Family,,October 28th,,,,,,Scarlet,Princess,,Deceased,
Beasts Pirates,,,,,,,,Scotch,Pirate,,Unknown,
Franky Family,,,,,,,,Schollzo,Dismantler; ,,Alive,
God's Army,25 (debut),March 10th,S,,,,"179 cm (5'10"")",Satori,Priest,Sky Islands,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Beasts Pirates,34,February 3rd,XF,,"Dragon-Dragon Fruit, Triceratops Model",Ancient Zoan,"318 cm (10'5"")",Sasaki,Shinuchi,Grand Line,Alive,
Beasts Pirates,45,March 12th,F,,,,"378 cm (12'5"")",Sarutobi,Ninja,Wano Country,Alive,
Bellamy Pirates,25 (debut),July 12th,F,,,,"228 cm (7'6"")",Sarquiss,Pirate,,Unknown,
Gaimon,,,,,,,,Sarfunkel,,,Alive,
Goa Kingdom,,July 31st,,,,,,Sally Isntoinette,Queen,,Alive,
Beasts Pirates,,,,,,Artificial Zoan,,Sarahebi-sensei,Gifter,,Alive,
Rosward Family,,March 28th,,,,,,Salou (VIZ); Saruu (Funimation),Pet,,Alive,
Komurasaki,,,,,,,,Sandayu,Bodyguard,,Alive,
Straw Hat Pirates,19 (debut),March 2nd,S (RH-),,,,"177 cm (5'9¾"") (debut)",Sanji,Cook,North Blue,Alive,
Blackbeard Pirates,97 (debut),March 2nd,S,,,,"180 m (590'6"") (maximum)",San Juan Wolf,Pirate,West Blue,Alive,
Current Unknown; ,,,,,,,,Thanklin,"Thief, Manager (former)",,Alive,
,,March 22nd,,,,,,Sapee,Fishmonger,,Alive,
Kuja,,March 6th,,,,,,Salome,Snake Weapon,Calm Belt,Alive,
,,March 8th,,,,,,Samurai Batts,,,Alive,
,,,,,,,,N/A,,,Unknown,
Impel Down,16 (debut),June 8th,F,,,,"218 cm (7'1"") (after timeskip)",Saldeath,Chief Guard,Grand Line,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Easter Egg,,October 21st,,,,,,Sam,,East Blue,Alive,
Happo Navy,28,August 13th,F,,,,"242 cm (7'11"")",Sai,Captain,West Blue,Alive,
Marines,53 (debut);,August 16th,F,,Magma-Magma Fruit,Logia,"306 cm (10'2½"")",Sakazuki,Fleet Admiral,North Blue,Alive,
Impel Down,21 (debut),March 5,S,,,,"183 cm (6'0"")",Sadie,Chief Guard,Grand Line,Alive,
Revolutionary Army,"10 (Flashback, debut)",March 20th,X,,Flame-Flame Fruit (,Logia,"100 cm (3'3½”) (Flashback, debut)",Sabo,Chief of ,East Blue,Unknown,
Seraphim,,,Green Blood,,Love-Love Fruit,Artificial,,S-Snake,,,Alive,
Seraphim,,,Green Blood,,Paw-Paw Fruit,Artificial,,S-Bear,,,Alive,
,,,,,,,,Osaki,,,Alive,
Spade Pirates,,,,,,,,Saber,Pirate,,Alive,
Seraphim,,,Green Blood,,,,,S-Hawk,,,Alive,
Neptune Family,23,June 24th,S,,,,544 cm (17’10”),Ryuboshi,Prince,Grand Line,Alive,
Seraphim,,,Green Blood,,Swim-Swim Fruit,Artificial,,S-Shark,,,Alive,
,,,,,,,,Ryunosuke,,,Deceased,
,,,,,,,,Russian,,,Deceased,
Roger Pirates,,,,,,,,Lowwing,Pirate,,Unknown,
,,January 23rd,,,,,,Roxanne,,,Alive,
Ally of the ,,,,,,,,Rush,Pirate,,Alive,
Roshio Pirates,,June 15th,,,,,,Roshio,Pirate,,Deceased,
World Government,53 (debut),June 28th,XF,,,,"215 cm (7'1"")",Saint Roswald,World Noble,Red Line,Alive,
Bellamy Pirates,,,,,,,,Ross (FUNimation),Pirate,,Unknown,
Straw Hat Pirates,19 (debut),November 11th,XF,,,,"178 cm (5'10¼"") (debut)","Roronoa Zoro (Uncut dub, Early VIZ manga),",Swordsman,East Blue,Alive,
Caesar Clown,,,,,,,,Lun (Viz);,Pirate,,Alive,
Marines,,June 19th,,,,,,Rokkaku,Marine Lieutenant Junior Grade,,Alive,
Majiatsuka Kingdom,,,,,,,,Rolling Logan,Army Commander,,Alive,
Beasts Pirates,,,,,,,,Rokki,,,Alive,
N/A,,,,,,,,Roji,Housewife,,Deceased,
Mokomo Dukedom,,,,,,,,Roddy,Guardian,,Alive,
Rocks Pirates,,,,,,,,Rocks D. Xebec (VIZ),Pirate Captain,,Deceased,
Ohara Archaeologists,,,,,,,,Roshu,Archaeologist,,Deceased,
Drum Kingdom,,,,,,,,Robson,Wapol,,Alive,
Bellamy Pirates,,,,,,,,Rivers (FUNimation),Pirate,,Unknown,
CP0,28 (debut),June 2nd,XF,,Cat-Cat Fruit Leopard Model (Viz),Zoan,"212 cm (6'11½"")",Rob Lucci,Cipher Pol,Grand Line,Alive,
Straw Hat Grand Fleet,63,February 19th,,,,,,Rodo,Navigator,,Alive,
Red Hair Pirates,,June 9th,,,,,,Rockstar,Pirate,,Alive,
Rolling Pirates,,,,,,,,Risky Brothers,Pirates,,Alive,
Ohara Archaeologists,,,,,,,,Lint,Archaeologist,,Deceased,
Kuja,,September 16th,,,,,,Rindo,Pirate,Calm Belt,Alive,
Neutral Civilian,,November 15th,,,,,,Ririka,Bartender,,Alive,
Marines,,June 13th,,,,,,Ripper,Marine Commander,,Alive,
Perona,,,,,,,,Risky Brothers,Wild Zombies,,Deceased,
Riku Family,60,June 27th,S,,,,"261 cm (8'6¾"")",Riku Doldo III,King,Grand Line,Alive,
Marines,,,,,,,,Ratel,Marine Captain,,Alive,
Marine 153rd Branch,,June 18th,,,,,,Rika,Waitress,,Alive,
Cross Guild,,July 23rd,,,,,,Richie,Pet;,,Alive,
Dressrosa,16,August 4th,S,,,,"171 cm (5'7¼"")",Rebecca,"Lady-in-waiting,",Grand Line,Alive,
Vegapunk,,,,,,,,Recycollie,,,Alive,
,,,,,,,,Reuder,Reporter,,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Whitebeard Pirates,,,,,,,,Reforte,Pirate,,Alive,
Roger Pirates,,,,,,,,Langram,Pirate,,Unknown,
Big Mom Pirates,,,,,,,,Randolph,Pirate,,Alive,
Happo Navy,,,,,,,,N/A,King,,Alive,
Subordinate of the ,,July 10th,,,,,,Ramba,Pirate,,Alive,
Whitebeard Pirates,Over 30,September 8th,,,,,,Rakuyo,7th Division ,South Blue,Alive,
Kuja,,November 24th,,,,,,Ran,Pirate,Calm Belt,Alive,
Shandia,20 (debut),July 7th,S,,,,"179 cm (5'10"")",Raki (Viz);,Shandia Warrior; ,Sky Islands,Alive,
,,,,,,,,Rakuda,,,Alive,
Tontatta Kingdom,,,,,,,,Rampo,Vice-chief,,Alive,
Beasts Pirates,45,June 4th,X,,,,"200 cm (6'7"")",Raijin,Ninja,Wano Country,Alive,
Kozuki Family,35,February 26th,X,,Scrolling Jutsu (VIZ);,Paramecia,"311 cm (10'2"")",Raizo,Ninja,Grand Line,Alive,
His crew,,,,,,,,Raccoon,Pirate,,Unknown,
,,November 14th,,,,,,"Rydin (Former Viz, simulcast);",,,Unknown,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Beasts Pirates,56,July 13th,XF,,"Dragon-Dragon Fruit, Model: Brachiosaurus",Ancient Zoan,"612 cm (20'1"")",Queen,Pirate,Grand Line,Alive,
Beasts Pirates,,,,,Rabbit SMILE,Artificial Zoan,,N/A,Gifter,,Alive,
,,,,,,,,Pythagoras,,,Alive,
Big Mom Pirates,,,,,,,,Queen Mama Chanter,,,,
Pirate crew,,,,,,,,Puppu,Pirate,,Unknown,
Marines,,May 16th,,,,,,Purinpurin,Marine ,East Blue,Deceased,
Marines,,,,,,,,,Cyborgs,,,
,,,,,,,,N/A,Waiter,,Alive,
Big Mom Pirates,,July 19th,,,,,"239 cm (7'10"")",Prometheus,,Grand Line,Unknown,
Big Mom Pirates,,,,,,,,Rabian,,,Alive,
Gol D. Roger,,June 10th,,,,,,Portgaz D. Rouge,,,Deceased,
Whitebeard Pirates,,January 1st,S,,Flame-Flame Fruit (,Logia,"185 cm (6'1½"") (age 20)",Portgas D. Ace (uncut dub);,2nd Division ,South Blue,Deceased,
Levely,,,,,,,,N/A,King,,Alive,
Orange Town,,May 11th,,,,,,Poro,Bookstore Owner,East Blue,Alive,
Charlotte Family,48,August 21st,F,,,,"731 cm (24'0"")",Pound,,Grand Line,Alive,
,,,,,,,,Potsun,Doctor,,Alive,
Foxy Pirates,,November 16th,,,,,,Porche,Pirate,,Alive,
Marines,,,,,,,,Prince Grus,Rear Admiral,,Alive,
Bluejam Pirates,,April 3rd,X,,,,"320 cm (10'6"")",Porchemy,Pirate,East Blue,Deceased,
Kuja,,May 17th,,,,,,Poppy,Warrior,Calm Belt,Alive,
,,September 29th,,,,,,Pinky,,,Alive,
Alvida Pirates,,September 2nd,,,,,,Poppoko,Pirate,,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Arlong Pirates,,August 14th,,,,,,Pisaro,Pirate,Grand Line,Alive,
Beasts Pirates,,,,,Rattlesnake ,Artificial Zoan,,Poker,Shinuchi,,Alive,
Marines,,,,,,,,Pike,,,Alive,
Gan Fall,,October 8th,,,Horse-Horse Fruit,Zoan,,Pierre,Gan Fall's pet,,Alive,
Foxy Pirates,,January 9th,,,,,,Pickles,Pirate,,Alive,
Roger Pirates,,,,,,,,Peetamu,Pirate,,Unknown,
Donquixote Pirates,40,December 14th,X,,Stone-Stone Fruit,Paramecia,"470 cm (15'5"")",Pica,Pirate,North Blue,Alive,
Hound Pets,,January 4th,,,,,,Peterman,Slave trader,,Alive,
Usopp Pirates,9 (debut),April 9th,XF,,,,"120 cm (3'11"")",Pepper,Pretend ,,Alive,
Tontatta Kingdom,,,,,,,,Pellini,Pirate,,Alive,
Heart Pirates,26 (debut),April 25th (World Penguin Day),X,,,,,Penguin,Pirate,North Blue,Alive,
Alvida Pirates,,September 2nd,,,,,,Peppoko,Pirate,,Alive,
Arabasta Kingdom,33 (debut),August 23,X,,Tweet-Tweet Fruit (,Zoan,"189 cm (6'2¾"")",Pell,Commander,Grand Line,Alive,
Harahettania,,,,,,,,Pekkori,Priest,,Alive,
Dracule Mihawk,23 (debut),June 7th,XF,,Hollow-Hollow Fruit,Paramecia,"160 cm (5'3"")",Perona,Pirate,West Blue,Alive,
Big Mom Pirates,27,April 11th,S,,Turtle-Turtle Fruit,Zoan,"232 cm (7'7"")",Pekoms,Combatant,,Unknown,
Galley-La Company,31 (debut),January 2nd,S,,,,"206 cm (6'9"")",Peepley Lulu (Viz),Dock One Foreman,Grand Line,Alive,
Krieg Pirates,23 (debut),July 11th,F,,,,"239 cm (7'10"")",Pearl,Commander,,Alive,
,20 (debut),February 21st,,,,,,Pasia (Viz);,"Dancer, Slave",South Blue,Alive,
Peachbeard Pirates,,March 27th,,,,,,Peachbeard,Pirate,,Alive,
Galley-La Company,24 (debut),July 8th,S,,,,"195 cm (6'5"")","Paulie (FUNimation, Viz);",Vice President of Galley-La,Grand Line,Alive,
Whitebeard Pirates,,,,,,,,Pavlik,Pirate,,Alive,
Mokomo Dukedom,,June 16th,F,,,,"233 cm (7'7¾"")",Pedro,Captain of the Guardians;,Grand Line,Deceased,
,,,,,,,,Papaneel,Robber (formerly),,Alive,
Baratie,27 (debut),March 12th,X,,,,"204 cm (6'8"")",Patty,Patissier,,Alive,
Criminal,31 (debut),September 21st,XF,,,,"50 cm (1'7"")",Pappagu,Fashion Designer; Takoyaki seller;Pet,,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
,,,,,,,,Pantori (Viz);,,,,
Kuja,,July 20th,,,,,,Pansy,Warrior,Calm Belt,Alive,
,,June 29th,,,,,,Justy Tinbread,Prisoner,,Alive,
Easter egg,,February 29th,,,,,,Pandawomanmi,,,Alive,
Beasts Pirates,20,February 10th,X,,"Dragon-Dragon Fruit, Model: Spinosaurus",Ancient Zoan,"171 cm (5'7"")",Page One,Shinuchi,Grand Line,Alive,
,Even he does not know,February 29th,,,,,"200 cm (6'7"")",Panda Man,Wrestler,Tibet,Alive,122 kg (269 lb)
Neptune Family,,January 10th,S,,,,"224 cm (7'4"")",Otohime,Queen,Grand Line,Deceased,
His own crew; Ally of the ,,March 11th,,,,,,Palms,Pirate,,Alive,
Yonta Maria Grand Fleet,42,June 23rd,X,,,,"480 cm (15'9"")",Olombus (Former); Orlumbus,Captain,Grand Line,Alive,
Carmel,,,,,,,,Pandora,,,Unknown,
Goa Kingdom,,,,,,,,Outlook III,Noble,,Alive,
Shimotsuki Family,69,November 19th,X,,,Mythical Zoan,"428 cm (14'1"") (Human form)",Onimaru,Warrior Monk; Highway Robber;,,Alive,
,52 (debut),August 17th,F,,,,"179 cm (5'10"")",Pagaya,Engineer,Grand Line,Alive,
Spade Pirates,,,,,,,,Ossamond,Pirate,,Alive,
,,,,,,,,Oran,,,Deceased,
World Government,151 (debut),January 6th,F,,,,"1600 cm (52'6"")",Oimo,Pirate,Grand Line,Alive,
Marines,,February 8th,,,,,,Onigumo,Vice Admiral,,Alive,
,,,,,,,,Ohmasa,Yakuza,,Alive,
Suna Suna Clan,,,,,,,,Okame,Rebel (former),,Alive,
Thriller Bark Pirates,,October 4th,F,,,,"67 m (219'10"")",Oars,Special Zombie,North Blue,Deceased,102 t
God's Army,27 (debut),March 25th,XF,,,,"189 cm (6'2"")",Ohm,Priest,Sky Islands,Alive,
Rocks Pirates,,,,,,,,Wang Zhi,Pirate,,Unknown,
,,August 5th,,,,,,Octopako,,,Alive,
,,,,,,,,N/A,,,Alive,
Hokahoka Pirates,,,,,,,,Ryce,Pirate,,Alive,
,,May 28th,,,,,,Calicoach,Steed,,Alive,
Black Cat Pirates,,July 18th,,,,,,Snott Mee,Shipwright,East Blue,Deceased,
Beasts Pirates,,,,,Hognose Snake ,Artificial Zoan,,Nure-Onna,Gifter,,Alive,
,20 (debut),July 25th,S,,,,"170 cm (5'7"")",Nojiko,Orange Farmer,East Blue,Alive,
Tontatta Kingdom,,,,,,,,Nubon,Pirate,,Alive,
Ally of the ,,,,,,,,N/A,Pirate,,Alive,
,,,,,,,,N/A,,,Alive,
Fake Straw Hat Crew,13,April 10th,,,,,"103 cm (3'4"")",Stray Fox,Pet,East Blue,Alive,
Beasts Pirates,,,,,,,,N/A,Waiter,,Alive,
Big Mom Pirates,,October 17th,,,,,,Aristocroc,,,Alive,
,,,,,,,,Nika,,,Unknown,
Big Mom Pirates,,,,,,,,Nitro,,,Alive,
Straw Hat Pirates,28 (debut),February 6th,S,,Hana-Hana Fruit (,Paramecia,"188 cm (6'2½"") (debut, after timeskip)",Nico Robin,Archaeologist,West Blue,Alive,
Ally of the ,,,,,,,,Ninth,Pirate,,Alive,
Ohara Archaeologists,,February 6th,S,,,,"186 cm (6'1"")",Nico Olvia,Archaeologist,West Blue,Deceased,
Shandia,Over 400,March 10th,,,,,,Nola,,,Alive,"Over 40,000 tons (estimated)"
Usopp Pirates,9 (debut),February 2,X,,,,"127 cm (4'2"")",Carrot,Pretend ,,Alive,
N/A,,,,,,,,Abscondo,Citizen,,Alive,
Marines,34 (debut),December 12th,XF,,,,"182 cm (5'11¾"")",Nezumi,Marine Captain,East Blue,Alive,
CP9,20 (debut),January 26th,X,,,,"202 cm (6'7½"")",Nero,Cipher Pol,West Blue,Unknown,
Kuja,,December 15th,,,,,,Nerine,Kuja warrior,Calm Belt,Alive,
,,,,,,Paramecia,,Brush-Brush Fruit,,,,
Arabasta Kingdom,16 (debut),February 2nd,F,,,,169 cm (5'6½”),"Nefeltari Vivi (Viz, 4Kids, FUNImation subs, Odex, Movie 8 dub);",Princess,Grand Line,Alive,
Neptune Family,70,July 3rd,X,,,,1220 cm (40'),Neptune,Captain of the Royal Guard (former); ,Grand Line,Alive,
Arabasta,,,,,,,,Nefeltari Titi,Queen,,Deceased,
,43 (debut),November 14th,,,,,,Maria Onion Bear (Viz);,,,Alive,
Levely,,,,,,,,N/A,Queen,,Alive,
Arabasta Kingdom,48 (debut),February 13,F,,,,"182 cm (6'0"")","Nefeltari Cobra (Viz, Movie 8);",King,Grand Line,Deceased,
Big Mom Pirates,At least 25,December 2nd,,,,,,Napoleon,,,Unknown,
Levely,,,,,,,,N/A,King,,Alive,
Suna Suna Clan,,,,,,,,Natto,,,Alive,
Marines,,,,,,,,Nay Mingheim,Vice Admiral,,Alive,
Straw Hat Pirates,18 (debut),July 3rd,X,,,,"169 cm (5'6½"") (debut)",Nami,Navigator,East Blue,Alive,
Bellamy Pirates,,,,,,,,Mjure,Pirate,,Unknown,
,,July 1st,,,,,,Nako,Doctor,East Blue,Alive,
Mokomo Dukedom,40,November 22nd,S,,,,"522 cm (17'1"")",Cat Viper,Ruler of Mokomo Dukedom (former);,Grand Line,Alive,
Whitebeard Pirates,,July 6th,,,,,,Namule,8th Division ,Grand Line,Alive,
Beasts Pirates,,,,,,,,Nangi,,,Alive,
World Government,,November 21st,,,,,,Mameemee,Housemother,East Blue,Alive,
,,,,,,,,Mummy,Sorcerer,,Alive,
Roger Pirates,,,,,,,,Muegren,Pirate,,Unknown,
,56,,,,,,,Sawyer Wayback,,,Alive,
Impel Down,,,,,,,,Notta Magician,Doctor,,Alive,
Baroque Works,,,,,,,,Mr. Love,Billions Agent,,Alive,
Baroque Works,,February 24th,,,,,,Mr. Beans,Millions Agent,,Alive,
Roger Pirates,,,,,,,,Mr. Momora,Pirate,,Unknown,
Baroque Works,,,,,,,,Mr. Melow,Billions agent,,Alive,
Baroque Works,,November 21st,,,,,,Mr. 11,Frontier Agent,Grand Line,Deceased,
Baroque Works,,May 17th,,,,,,Mr. 13,Assassin,Grand Line,Alive,
Baroque Works,,September 27th,,,,,,Mr. 9,Frontier Agent,Grand Line,Alive,
Baroque Works,,,,,,,,Mr. 12,Frontier Agent,,Alive,
Baroque Works,,December 11th,,,,,,Mr. Shimizu,Millions Agent,,Alive,
Baroque Works,,,,,,,,Mr. 10,Frontier Agent,,Alive,
Marines,,,,,,,,Mozambia,Vice Admiral,,Alive,
Baroque Works,,,,,,,,Mr. 7,Frontier Agent,,Alive,
Baroque Works,,,,,,,,Mr. 7,Frontier Agent,,Deceased,
Baroque Works,,,,,,,,Mr. 6,Frontier Agent,,Alive,
Shandia,,June 3rd,,,,,,Musse (Viz);,Shandia Villager,,Deceased,
Divine Squad,,,,,,,,Moyle,Member of the Divine Squad; ,,Unknown,
Foxy Pirates,,,,,,,,Mountain Ricky,Pirate,,Alive,
Kozuki Family,,,,,,,,Mountain God,,,Unknown,
Beasts Pirates,,,,,Mouse ,Artificial Zoan,,Mouse-Man,Gifter,,Alive,
Revolutionary Army,160,,F,,Push-Push Fruit,Paramecia,"1253 cm (41'1"")",Morley,West Army Commander of the Revolutionary Army;,West Blue,Alive,
,,October 15th,,,,,,Mornin,Mayor,,Alive,
Rosy Life Riders,,August 19th,,,,,,Motobaro (Viz);,Duval's pet,,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
,,,,,,,,Morollon,Queen,,Alive,
,,September 7th,,,,,,Mr. Motzel,,,Alive,
Fake Straw Hat Crew,30,January 9th,XF,,,,"294 cm (9'7"")",Mounbleten,Pirate,East Blue,Unknown,
Marines,42 (debut),April 13th,XF,,,,"285 cm (9'4"")",Morgan,Captain,,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Straw Hat Pirates,7 (debut);,May 5th (Children's Day),F,,Gum-Gum Fruit,Paramecia,"91 cm  (2'11¾"") (debut)",Monkey D. Luffy,Pirate Captain,East Blue,Alive,
Roger Pirates,,,,,,,,Moon Isaac Jr.,Pirate,,Unknown,
Revolutionary Army,53 (debut),October 5th,F,,,,"256 cm (8'5"")",Monkey D. Dragon,Supreme Commander of the Revolutionary Army;,East Blue,Alive,
World Economy News Paper,53,July 14th,XF,,,Zoan,"305 cm (10'0"")",Morgans,World Economy News Paper President; Emperor of the Underworld,Grand Line,Alive,
Marines,76 (debut),May 2nd,F,,,,"287 cm (9'5"")",Monkey D. Garp,Vice Admiral,East Blue,Alive,
Lvneel,,October 9th,S,,,,"220 cm (7'2"")","Mont Blanc Noland (Viz); Montblanc Noland (uncut Funimation); Monbran Noland (edited Funimation), Mombran Noland (4kids)",Explorer,North Blue,Deceased,
,,November 17th,,,,,,Moody,,,Alive,
Kozuki Family,,,,,,,,N/A,Samurai,,Alive,
Red Hair Pirates,,October 31st,,,,,,Monster,Pirate,,Alive,
Mokomo Dukedom,,,,,,,,Mon-ji,,,Alive,
Foxy Pirates,,April 3rd,,,,,,Monda,Pet,,Alive,
Cross Guild,27 (debut),October 1st,S,,,,"197 cm (6'6"")",Mohji;,Pirate,East Blue,Alive,
Saruyama Alliance,41 (debut),September 11th,S,,,,"242 cm (7'11"")","Mont Blanc Cricket (Viz),",Pirate,North Blue,Alive,
Arlong Pirates,14 (debut),April 9th,S,,,,"36 m (118'1"")","Momoo (4Kids, Viz, FUNimation);",Arlong Pirates' ,Grand Line,Alive,
Marines,46 (debut),June 6th,F,,,,"251 cm (8'3"")",Momonga,Vice Admiral,Grand Line,Alive,
,9,June 28th,S,,,,692 cm (22’8½”),Mocha,,Grand Line,Alive,
Lulusia Kingdom,,June 1st,,,,,,Moda,Farmer,,Unknown,
Thriller Bark Pirates,,,,,,,,McTreenald,Wild Zombie,,Deceased,
Angel Island,,,,,,,,Mochi,Child,,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Ohara,8,,,,,,,Mizuira,Civilian,,Deceased,
Caesar Clown,,August 27th,X,,Snow-Snow Fruit,Logia,"227 cm (7'5¼"")",Monet,Caesar's secretary (Undercover); Doflamingo's spy;,North Blue,Deceased,
Rumbar Pirates,,,,,,,,Madaisky Mizuuta,Pirate,,Deceased,
Rumbar Pirates,,,,,,,,Mawaritosky Mizuuta,Pirate,,Deceased,
Mokomo Dukedom,,December 22nd,,,,,,Miyagi,Doctor,,Alive,
Baroque Works,,,,,,,,Miss Tuesday,Frontier Agent,,Alive,
